Osm_mOsm  	FrequencyShift_Hz	Volume_um^3	DiameterV_um	PassageTime_s	Deformability_inverseSec
300.0000  	49.6376   	1719.9431 	14.8652   	0.0896    	11.1650   
300.0000  	71.8859   	2490.8468 	16.8183   	0.1600    	6.2496    
300.0000  	29.2089   	1012.0870 	12.4568   	0.0280    	35.7779   
300.0000  	34.9662   	1211.5778 	13.2267   	0.0405    	24.6894   
300.0000  	35.5046   	1230.2340 	13.2942   	0.0408    	24.4991   
300.0000  	34.4191   	1192.6232 	13.1573   	0.0331    	30.1835   
300.0000  	40.4916   	1403.0345 	13.8896   	0.0606    	16.5108   
300.0000  	74.2264   	2571.9460 	16.9989   	0.0779    	12.8375   
300.0000  	47.8481   	1657.9384 	14.6844   	0.1013    	9.8673    
300.0000  	41.8233   	1449.1781 	14.0402   	0.0522    	19.1699   
300.0000  	45.3373   	1570.9360 	14.4229   	0.0769    	13.0010   
300.0000  	24.7460   	857.4495  	11.7870   	0.0229    	43.7353   
300.0000  	32.6601   	1131.6733 	12.9293   	0.0300    	33.3353   
300.0000  	32.4779   	1125.3590 	12.9052   	0.0427    	23.4289   
300.0000  	43.6646   	1512.9795 	14.2433   	0.0664    	15.0530   
300.0000  	58.9490   	2042.5838 	15.7420   	0.0998    	10.0212   
300.0000  	38.3627   	1329.2678 	13.6418   	0.0480    	20.8502   
300.0000  	33.0112   	1143.8376 	12.9754   	0.0365    	27.4348   
300.0000  	29.8961   	1035.9005 	12.5537   	0.0282    	35.4331   
300.0000  	24.6133   	852.8519  	11.7659   	0.0218    	45.8718   
300.0000  	23.7033   	821.3210  	11.6191   	0.0210    	47.7001   
300.0000  	29.3368   	1016.5213 	12.4750   	0.0257    	38.9565   
300.0000  	38.6154   	1338.0221 	13.6717   	0.0463    	21.6167   
300.0000  	23.6841   	820.6552  	11.6159   	0.0196    	51.0856   
300.0000  	36.6994   	1271.6338 	13.4417   	0.0373    	26.8342   
300.0000  	31.8470   	1103.4987 	12.8211   	0.0318    	31.4138   
300.0000  	30.4332   	1054.5121 	12.6285   	0.0272    	36.7339   
300.0000  	35.0096   	1213.0843 	13.2322   	0.0394    	25.3497   
300.0000  	37.1678   	1287.8642 	13.4987   	0.0370    	27.0051   
300.0000  	24.9811   	865.5962  	11.8242   	0.0241    	41.5444   
300.0000  	29.1393   	1009.6780 	12.4469   	0.0244    	41.0250   
300.0000  	33.3131   	1154.2992 	13.0149   	0.0369    	27.0698   
300.0000  	36.9353   	1279.8096 	13.4705   	0.0411    	24.3311   
300.0000  	25.1467   	871.3321  	11.8503   	0.0242    	41.3138   
300.0000  	23.6818   	820.5755  	11.6156   	0.0208    	48.0228   
300.0000  	33.0282   	1144.4277 	12.9777   	0.0404    	24.7374   
300.0000  	29.5238   	1022.9987 	12.5014   	0.0384    	26.0219   
300.0000  	47.4318   	1643.5128 	14.6417   	0.0725    	13.7974   
300.0000  	27.4425   	950.8827  	12.2005   	0.0229    	43.6290   
